id,author,downloads,likes,params_billions,tensor_types,storage_gb,architecture,model_type,library_name,gated,lastModified
bigdefence/bigvox,bigdefence,5,1,1.89,F16,3.54,OmniSpeechLlamaForCausalLM,omni_speech_llama,,False,2025-07-19T01:21:09.000Z
bigdefence/Bigvox-Kanana-Audio,bigdefence,5,1,2.74,F16,5.97,OmniSpeechKananaForCausalLM,omni_speech_kanana,,False,2025-08-23T22:02:59.000Z
AtAndDev/UVOX-Qwen3-4B-Instruct-2507,AtAndDev,5,0,0.05,BF16,0.27,UltravoxModel,ultravox,transformers,False,2025-10-20T19:29:24.000Z
AtAndDev/UVOX-5k-Llama-3.2-1B-Instruct,AtAndDev,5,0,0.05,BF16,0.27,UltravoxModel,ultravox,transformers,False,2025-10-20T19:34:32.000Z
AtAndDev/UVOX-90k-Llama-3.2-1B-Instruct,AtAndDev,5,0,0.05,BF16,0.29,UltravoxModel,ultravox,transformers,False,2025-10-21T12:57:10.000Z
zhuexe/ultravox-v0_5-llama-3_3-70b-tempfix,zhuexe,4,0,0.7,BF16,1.31,UltravoxModel,ultravox,transformers,False,2025-05-02T21:40:04.000Z
ReallyFloppyPenguin/shuka-1-incase-they-remove-it,ReallyFloppyPenguin,4,0,8.73,BF16,32.51,ShukaModel,shuka,transformers,False,2025-08-21T14:41:16.000Z
Phonepadith/whisper-large-lao-finetuned-v1,Phonepadith,4,0,1.54,F32,5.75,WhisperForConditionalGeneration,whisper,,False,2025-10-14T13:02:54.000Z
warshanks/Voxtral-Mini-3B-2507-FP8,warshanks,2,0,0,,5.73,,,vllm,False,2025-07-17T03:18:57.000Z
reach-vb/test-attt-tag,reach-vb,0,0,0,,0,,,,False,2024-11-19T12:10:14.000Z
hocuf/audio_to_speech_whisper,hocuf,0,1,0,,0,,,,False,2024-11-28T14:16:23.000Z
Flex-Data/bm-v1,Flex-Data,0,3,0,,0.27,,,tensorflow,False,2024-12-04T09:06:03.000Z
